state,usa_ranking,total_spending_pc,instruction_spending_pc,support_services_spending_pc,population,dem_gov,gdp_pc,spm_pv_rate
Alabama,49.00 ,9236.00 ,5257.00 ,3321.00 ,4903185.00 ,0.00 ,45219,13.5
Alaska,47.00 ,17510.00 ,9449.00 ,7427.00 ,731545.00 ,0.00 ,73205,12.5
Arizona,44.00 ,7613.00 ,4077.00 ,3105.00 ,7278717.00 ,0.00 ,48055,18.8
Arkansas,40.00 ,9846.00 ,5539.00 ,3762.00 ,3017804.00 ,0.00 ,42454,16.5
California,37.00 ,11495.00 ,6849.00 ,4191.00 ,39512223.00 ,1.00 ,74205,23.8
Colorado,14.00 ,9575.00 ,5423.00 ,3785.00 ,5758736.00 ,1.00 ,63882,13.7
Connecticut,5.00 ,18958.00 ,11656.00 ,6621.00 ,3565287.00 ,1.00 ,76342,12.5
Delaware,24.00 ,14713.00 ,9191.00 ,4852.00 ,973764.00 ,1.00 ,77253,13.9
Florida,27.00 ,8920.00 ,5478.00 ,2984.00 ,21477737.00 ,0.00 ,48318,19.5
Georgia,31.00 ,9769.00 ,5975.00 ,3216.00 ,10617423.00 ,0.00 ,55832,18.2
Hawaii,30.00 ,13748.00 ,8066.00 ,4953.00 ,1415872.00 ,1.00 ,64096,17.3
Idaho,26.00 ,7157.00 ,4262.00 ,2508.00 ,1787065.00 ,0.00 ,43430,11.6
Illinois,7.00 ,14180.00 ,8636.00 ,5134.00 ,12671821.00 ,1.00 ,67268,15.2
Indiana,6.00 ,9856.00 ,5706.00 ,3653.00 ,6732219.00 ,0.00 ,55172,14.2
Iowa,13.00 ,11150.00 ,6787.00 ,3894.00 ,3155070.00 ,0.00 ,59977,8.6
Kansas,15.00 ,9960.00 ,6063.00 ,3401.00 ,2913314.00 ,1.00 ,56334,11.5
Kentucky,32.00 ,9863.00 ,5708.00 ,3533.00 ,4467673.00 ,1.00 ,46898,13.6
Louisiana,46.00 ,11038.00 ,6199.00 ,4222.00 ,4648794.00 ,1.00 ,53589,18.5
Maine,17.00 ,13278.00 ,7587.00 ,5216.00 ,1344212.00 ,1.00 ,47969,11.2
Maryland,11.00 ,14206.00 ,8848.00 ,4935.00 ,6045680.00 ,0.00 ,68573,13.4
Massachusetts,1.00 ,15593.00 ,9713.00 ,5396.00 ,6892503.00 ,0.00 ,82480,13.8
Michigan,29.00 ,11668.00 ,6823.00 ,4416.00 ,9986857.00 ,1.00 ,53209,13.5
Minnesota,12.00 ,12382.00 ,8074.00 ,3719.00 ,5639632.00 ,1.00 ,64675,9.7
Mississippi,45.00 ,8702.00 ,4951.00 ,3190.00 ,2976149.00 ,0.00 ,37948,16.1
Missouri,21.00 ,10313.00 ,6156.00 ,3700.00 ,6137428.00 ,0.00 ,51699,12.4
Montana,20.00 ,11348.00 ,6701.00 ,4125.00 ,1068778.00 ,1.00 ,46609,12.1
Nebraska,9.00 ,12299.00 ,8008.00 ,3642.00 ,1934408.00 ,0.00 ,63942,9.8
Nevada,48.00 ,8960.00 ,5183.00 ,3409.00 ,3080156.00 ,1.00 ,55269,19.8
New Hampshire,3.00 ,15340.00 ,9610.00 ,5341.00 ,1359711.00 ,0.00 ,63067,10.2
New Jersey,2.00 ,18402.00 ,10716.00 ,6999.00 ,8882190.00 ,1.00 ,69378,15.5
New Mexico,50.00 ,9693.00 ,5418.00 ,3789.00 ,2096829.00 ,1.00 ,46954,16.1
New York,25.00 ,22366.00 ,15746.00 ,6130.00 ,19453561.00 ,1.00 ,85746,18.1
North Carolina,28.00 ,8792.00 ,5513.00 ,2806.00 ,10488084.00 ,1.00 ,54441,14.2
North Dakota,35.00 ,13373.00 ,8005.00 ,4380.00 ,762062.00 ,0.00 ,72597,9.2
Ohio,18.00 ,12102.00 ,7071.00 ,4613.00 ,11689100.00 ,0.00 ,57492,13.2
Oklahoma,43.00 ,8097.00 ,4528.00 ,2989.00 ,3956971.00 ,0.00 ,50613,13.4
Oregon,39.00 ,10842.00 ,6327.00 ,4123.00 ,4217737.00 ,1.00 ,56956,13.9
Pennsylvania,10.00 ,15418.00 ,9446.00 ,5383.00 ,12801989.00 ,1.00 ,61594,12.6
Rhode Island,36.00 ,15532.00 ,9035.00 ,6065.00 ,1059361.00 ,1.00 ,57852,13.6
South Carolina,41.00 ,10249.00 ,5629.00 ,4054.00 ,5148714.00 ,0.00 ,45280,15.8
South Dakota,23.00 ,9176.00 ,5360.00 ,3287.00 ,884659.00 ,0.00 ,58624,10.6
Tennessee,38.00 ,8810.00 ,5406.00 ,2917.00 ,6829174.00 ,0.00 ,53933,15.5
Texas,33.00 ,9016.00 ,5514.00 ,3002.00 ,28995881.00 ,0.00 ,61167,16.4
Utah,22.00 ,6953.00 ,4467.00 ,2098.00 ,3205958.00 ,0.00 ,55550,11.6
Vermont,4.00 ,17873.00 ,10720.00 ,6629.00 ,623989.00 ,0.00 ,53523,10.1
Virginia,8.00 ,11432.00 ,6966.00 ,4024.00 ,8535519.00 ,1.00 ,62563,13.3
Washington,19.00 ,11534.00 ,6538.00 ,4525.00 ,7614893.00 ,1.00 ,74182,12.2
West Virginia,42.00 ,11291.00 ,6507.00 ,4073.00 ,1792147.00 ,0.00 ,43053,12.9
Wisconsin,16.00 ,11456.00 ,6697.00 ,4304.00 ,5822434.00 ,1.00 ,57720,10.8
Wyoming,34.00 ,16442.00 ,9750.00 ,6197.00 ,578759.00 ,0.00 ,69900,9.2
,,,,,,,,
